ref	ball_pos	gear_angle	motor_voltage	zero
0.700	4.346	0.644	-0.236	0.000
0.700	4.351	0.644	-0.236	0.000
0.700	4.343	0.646	-0.233	0.000
0.700	4.346	0.643	-0.240	0.000
0.700	4.346	0.649	-0.226	0.000
0.700	4.348	0.649	-0.226	0.000
0.700	4.341	0.649	-0.226	0.000
0.700	4.348	0.652	-0.219	0.000
0.700	4.343	0.652	-0.219	0.000
0.700	4.341	0.652	-0.219	0.000
0.700	4.343	0.650	-0.223	0.000
0.700	4.346	0.653	-0.216	0.000
0.700	4.343	0.653	-0.216	0.000
0.700	4.346	0.653	-0.216	0.000
0.700	4.346	0.656	-0.209	0.000
0.700	4.346	0.656	-0.209	0.000
0.700	4.346	0.655	-0.212	0.000
0.700	4.346	0.655	-0.212	0.000
0.700	4.346	0.656	-0.209	0.000
0.700	4.343	0.659	-0.202	0.000
0.700	4.343	0.658	-0.205	0.000
0.700	4.341	0.659	-0.202	0.000
0.700	4.346	0.659	-0.202	0.000
0.700	4.343	0.659	-0.202	0.000
0.700	4.341	0.664	-0.191	0.000
0.700	4.346	0.662	-0.195	0.000
0.700	4.346	0.662	-0.195	0.000
0.700	4.341	0.662	-0.195	0.000
0.700	4.343	0.661	-0.198	0.000
0.700	4.346	0.662	-0.195	0.000
0.700	4.343	0.662	-0.195	0.000
0.700	4.343	0.665	-0.188	0.000
0.700	4.343	0.665	-0.188	0.000
0.700	4.341	0.664	-0.191	0.000
0.700	4.343	0.665	-0.188	0.000
0.700	4.343	0.664	-0.191	0.000
0.700	4.341	0.667	-0.184	0.000
0.700	4.341	0.668	-0.181	0.000
0.700	4.341	0.668	-0.181	0.000
0.700	4.338	0.668	-0.181	0.000
0.700	4.338	0.668	-0.181	0.000
0.700	4.341	0.670	-0.177	0.000
0.700	4.343	0.668	-0.181	0.000
0.700	4.343	0.670	-0.177	0.000
0.700	4.343	0.670	-0.177	0.000
0.700	4.341	0.670	-0.177	0.000
0.700	4.341	0.668	-0.181	0.000
