ref	ball_pos	gear_angle	motor_voltage	zero
0.700	-0.178	0.578	-0.747	0.000
0.700	-0.181	0.581	-0.740	0.000
0.700	-0.181	0.585	-0.729	0.000
0.700	-0.183	0.585	-0.729	0.000
0.700	-0.186	0.588	-0.722	0.000
0.700	-0.186	0.590	-0.719	0.000
0.700	-0.188	0.593	-0.712	0.000
0.700	-0.190	0.596	-0.705	0.000
0.700	-0.190	0.597	-0.702	0.000
0.700	-0.190	0.597	-0.702	0.000
0.700	-0.195	0.602	-0.691	0.000
0.700	-0.200	0.602	-0.691	0.000
0.700	-0.198	0.605	-0.684	0.000
0.700	-0.203	0.606	-0.681	0.000
0.700	-0.205	0.608	-0.677	0.000
0.700	-0.208	0.609	-0.674	0.000
0.700	-0.208	0.609	-0.674	0.000
0.700	-0.210	0.613	-0.663	0.000
0.700	-0.210	0.615	-0.660	0.000
0.700	-0.208	0.615	-0.660	0.000
0.700	-0.212	0.616	-0.656	0.000
0.700	-0.215	0.618	-0.653	0.000
0.700	-0.215	0.621	-0.646	0.000
0.700	-0.222	0.624	-0.639	0.000
0.700	-0.232	0.624	-0.639	0.000
0.700	-0.234	0.625	-0.636	0.000
0.700	-0.242	0.627	-0.632	0.000
0.700	-0.242	0.628	-0.629	0.000
0.700	-0.244	0.631	-0.622	0.000
0.700	-0.247	0.633	-0.618	0.000
0.700	-0.249	0.634	-0.615	0.000
0.700	-0.251	0.636	-0.611	0.000
0.700	-0.254	0.637	-0.608	0.000
0.700	-0.256	0.639	-0.604	0.000
0.700	-0.256	0.640	-0.601	0.000
0.700	-0.254	0.640	-0.601	0.000
0.700	-0.254	0.644	-0.590	0.000
0.700	-0.256	0.644	-0.590	0.000
0.700	-0.254	0.646	-0.587	0.000
0.700	-0.261	0.647	-0.584	0.000
0.700	-0.261	0.649	-0.580	0.000
0.700	-0.259	0.649	-0.580	0.000
0.700	-0.264	0.652	-0.573	0.000
0.700	-0.264	0.653	-0.570	0.000
0.700	-0.264	0.653	-0.570	0.000
0.700	-0.266	0.655	-0.566	0.000
0.700	-0.269	0.658	-0.559	0.000
0.700	-0.278	0.658	-0.559	0.000
0.700	-0.281	0.658	-0.559	0.000
0.700	-0.286	0.662	-0.549	0.000
0.700	-0.283	0.661	-0.552	0.000
0.700	-0.288	0.665	-0.542	0.000
0.700	-0.283	0.662	-0.549	0.000
0.700	-0.291	0.665	-0.542	0.000
0.700	-0.293	0.668	-0.535	0.000
0.700	-0.295	0.667	-0.538	0.000
0.700	-0.293	0.670	-0.531	0.000
0.700	-0.293	0.670	-0.531	0.000
0.700	-0.295	0.670	-0.531	0.000
0.700	-0.298	0.673	-0.524	0.000
0.700	-0.300	0.673	-0.524	0.000
0.700	-0.300	0.674	-0.521	0.000
0.700	-0.300	0.674	-0.521	0.000
0.700	-0.298	0.676	-0.518	0.000
0.700	-0.308	0.674	-0.521	0.000
0.700	-0.315	0.676	-0.518	0.000
