ref	ball_pos	gear_angle	motor_voltage	zero
0.700	4.355	0.387	-0.473	0.000
0.700	4.355	0.390	-0.470	0.000
0.700	4.355	0.395	-0.465	0.000
0.700	4.355	0.393	-0.466	0.000
0.700	4.355	0.398	-0.461	0.000
0.700	4.355	0.398	-0.461	0.000
0.700	4.355	0.401	-0.458	0.000
0.700	4.355	0.402	-0.456	0.000
0.700	4.355	0.403	-0.454	0.000
0.700	4.355	0.408	-0.449	0.000
0.700	4.355	0.409	-0.447	0.000
0.700	4.348	0.411	-0.446	0.000
0.700	4.355	0.412	-0.444	0.000
0.700	4.355	0.415	-0.440	0.000
0.700	4.353	0.417	-0.439	0.000
0.700	4.348	0.418	-0.437	0.000
0.700	4.355	0.420	-0.435	0.000
0.700	4.355	0.423	-0.432	0.000
0.700	4.353	0.424	-0.430	0.000
0.700	4.353	0.426	-0.428	0.000
0.700	4.353	0.426	-0.428	0.000
0.700	4.351	0.430	-0.423	0.000
0.700	4.348	0.430	-0.423	0.000
0.700	4.355	0.430	-0.423	0.000
0.700	4.353	0.433	-0.420	0.000
0.700	4.353	0.436	-0.416	0.000
0.700	4.355	0.439	-0.413	0.000
0.700	4.351	0.439	-0.413	0.000
0.700	4.351	0.443	-0.407	0.000
0.700	4.355	0.442	-0.409	0.000
0.700	4.353	0.443	-0.407	0.000
0.700	4.355	0.446	-0.404	0.000
0.700	4.351	0.448	-0.402	0.000
0.700	4.355	0.451	-0.399	0.000
0.700	4.355	0.449	-0.400	0.000
0.700	4.353	0.452	-0.397	0.000
0.700	4.355	0.455	-0.394	0.000
0.700	4.355	0.454	-0.395	0.000
0.700	4.355	0.457	-0.392	0.000
0.700	4.355	0.457	-0.392	0.000
0.700	4.355	0.461	-0.387	0.000
0.700	4.355	0.463	-0.385	0.000
0.700	4.348	0.463	-0.385	0.000
0.700	4.351	0.466	-0.381	0.000
0.700	4.351	0.469	-0.378	0.000
0.700	4.351	0.469	-0.378	0.000
0.700	4.353	0.470	-0.376	0.000
0.700	4.351	0.471	-0.374	0.000
0.700	4.353	0.471	-0.374	0.000
0.700	4.351	0.474	-0.371	0.000
0.700	4.351	0.474	-0.371	0.000
0.700	4.351	0.479	-0.366	0.000
0.700	4.351	0.479	-0.366	0.000
0.700	4.355	0.480	-0.364	0.000
0.700	4.355	0.483	-0.361	0.000
0.700	4.351	0.485	-0.359	0.000
0.700	4.351	0.485	-0.359	0.000
0.700	4.351	0.485	-0.359	0.000
0.700	4.348	0.491	-0.352	0.000
0.700	4.348	0.489	-0.354	0.000
0.700	4.351	0.492	-0.350	0.000
0.700	4.351	0.492	-0.350	0.000
0.700	4.355	0.495	-0.347	0.000
0.700	4.348	0.495	-0.347	0.000
0.700	4.353	0.497	-0.345	0.000
0.700	4.351	0.498	-0.343	0.000
0.700	4.346	0.500	-0.341	0.000
0.700	4.353	0.501	-0.340	0.000
0.700	4.346	0.503	-0.338	0.000
0.700	4.351	0.503	-0.338	0.000
0.700	4.351	0.504	-0.336	0.000
0.700	4.346	0.505	-0.334	0.000
0.700	4.348	0.505	-0.334	0.000
0.700	4.351	0.507	-0.333	0.000
0.700	4.355	0.508	-0.331	0.000
0.700	4.355	0.510	-0.329	0.000
0.700	4.351	0.511	-0.328	0.000
0.700	4.348	0.510	-0.329	0.000
0.700	4.351	0.516	-0.322	0.000
0.700	4.351	0.516	-0.322	0.000
0.700	4.351	0.516	-0.322	0.000
0.700	4.351	0.519	-0.319	0.000
0.700	4.351	0.519	-0.319	0.000
0.700	4.351	0.519	-0.319	0.000
0.700	4.351	0.519	-0.319	0.000
0.700	4.348	0.522	-0.315	0.000
0.700	4.351	0.525	-0.312	0.000
0.700	4.348	0.525	-0.312	0.000
0.700	4.351	0.526	-0.310	0.000
0.700	4.351	0.526	-0.310	0.000
0.700	4.351	0.528	-0.308	0.000
0.700	4.346	0.528	-0.308	0.000
0.700	4.348	0.531	-0.305	0.000
0.700	4.351	0.532	-0.303	0.000
0.700	4.351	0.531	-0.305	0.000
0.700	4.346	0.534	-0.301	0.000
0.700	4.346	0.534	-0.301	0.000
