ref	ball_pos	gear_angle	motor_voltage	zero
0.300	40.252	0.259	-0.557	0.000
0.300	40.242	0.260	-0.554	0.000
0.300	40.242	0.260	-0.554	0.000
0.300	40.242	0.260	-0.554	0.000
0.300	40.252	0.260	-0.554	0.000
0.300	40.231	0.262	-0.550	0.000
0.300	40.252	0.263	-0.547	0.000
0.300	40.231	0.265	-0.543	0.000
0.300	40.221	0.263	-0.547	0.000
0.300	40.231	0.263	-0.547	0.000
0.300	40.221	0.265	-0.543	0.000
0.300	40.231	0.266	-0.540	0.000
0.300	40.252	0.266	-0.540	0.000
0.300	40.231	0.266	-0.540	0.000
0.300	40.221	0.269	-0.533	0.000
0.300	40.211	0.267	-0.536	0.000
0.300	40.211	0.269	-0.533	0.000
0.300	40.221	0.267	-0.536	0.000
0.300	40.221	0.270	-0.529	0.000
0.300	40.221	0.269	-0.533	0.000
0.300	40.231	0.270	-0.529	0.000
0.300	40.211	0.270	-0.529	0.000
0.300	40.200	0.270	-0.529	0.000
0.300	40.200	0.272	-0.526	0.000
0.300	40.211	0.273	-0.523	0.000
0.300	40.211	0.273	-0.523	0.000
0.300	40.211	0.273	-0.523	0.000
0.300	40.200	0.273	-0.523	0.000
0.300	40.200	0.276	-0.516	0.000
0.300	40.211	0.276	-0.516	0.000
0.300	40.190	0.278	-0.512	0.000
0.300	40.211	0.276	-0.516	0.000
0.300	40.200	0.278	-0.512	0.000
0.300	40.211	0.278	-0.512	0.000
0.300	40.200	0.278	-0.512	0.000
0.300	40.190	0.279	-0.509	0.000
0.300	40.200	0.279	-0.509	0.000
0.300	40.200	0.279	-0.509	0.000
0.300	40.200	0.281	-0.505	0.000
0.300	40.169	0.279	-0.509	0.000
0.300	40.159	0.282	-0.502	0.000
0.300	40.138	0.281	-0.505	0.000
0.300	40.138	0.281	-0.505	0.000
0.300	40.138	0.282	-0.502	0.000
0.300	40.138	0.282	-0.502	0.000
0.300	40.128	0.282	-0.502	0.000
0.300	40.128	0.284	-0.498	0.000
0.300	40.128	0.284	-0.498	0.000
0.300	40.117	0.284	-0.498	0.000
0.300	40.117	0.284	-0.498	0.000
0.300	40.117	0.287	-0.491	0.000
0.300	40.097	0.285	-0.495	0.000
0.300	40.107	0.287	-0.491	0.000
0.300	40.117	0.287	-0.491	0.000
0.300	40.097	0.288	-0.488	0.000
0.300	40.107	0.288	-0.488	0.000
0.300	40.076	0.288	-0.488	0.000
0.300	40.097	0.290	-0.484	0.000
0.300	40.076	0.290	-0.484	0.000
0.300	40.076	0.291	-0.481	0.000
0.300	40.086	0.290	-0.484	0.000
0.300	40.076	0.290	-0.484	0.000
0.300	40.065	0.290	-0.484	0.000
0.300	40.055	0.291	-0.481	0.000
0.300	40.065	0.290	-0.484	0.000
0.300	40.045	0.293	-0.477	0.000
0.300	40.045	0.291	-0.481	0.000
0.300	40.045	0.291	-0.481	0.000
0.300	40.045	0.293	-0.477	0.000
0.300	40.045	0.291	-0.481	0.000
0.300	40.045	0.293	-0.477	0.000
0.300	40.045	0.294	-0.474	0.000
0.300	40.034	0.293	-0.477	0.000
0.300	40.045	0.293	-0.477	0.000
0.300	40.045	0.293	-0.477	0.000
0.300	40.034	0.296	-0.470	0.000
0.300	40.034	0.294	-0.474	0.000
0.300	40.024	0.296	-0.470	0.000
0.300	40.045	0.296	-0.470	0.000
0.300	40.024	0.296	-0.470	0.000
0.300	40.014	0.296	-0.470	0.000
0.300	40.024	0.296	-0.470	0.000
0.300	40.045	0.296	-0.470	0.000
0.300	40.024	0.297	-0.467	0.000
0.300	39.982	0.296	-0.470	0.000
0.300	39.951	0.297	-0.467	0.000
0.300	39.951	0.297	-0.467	0.000
0.300	39.951	0.297	-0.467	0.000
0.300	39.941	0.299	-0.463	0.000
0.300	39.941	0.299	-0.463	0.000
0.300	39.941	0.299	-0.463	0.000
0.300	39.920	0.301	-0.087	0.000
0.300	39.910	0.297	-0.467	0.000
0.300	39.920	0.299	-0.463	0.000
0.300	39.910	0.299	-0.463	0.000
0.300	39.899	0.300	-0.090	0.000
0.300	39.899	0.299	-0.463	0.000
0.300	39.899	0.299	-0.463	0.000
0.300	39.889	0.297	-0.467	0.000
0.300	39.879	0.300	-0.090	0.000
0.300	39.879	0.301	-0.087	0.000
0.300	39.889	0.299	-0.463	0.000
0.300	39.858	0.299	-0.463	0.000
0.300	39.848	0.299	-0.463	0.000
0.300	39.827	0.299	-0.463	0.000
0.300	39.816	0.299	-0.463	0.000
0.300	39.806	0.299	-0.463	0.000
0.300	39.806	0.299	-0.463	0.000
0.300	39.806	0.299	-0.463	0.000
0.300	39.796	0.301	-0.087	0.000
0.300	39.775	0.301	-0.087	0.000
0.300	39.785	0.300	-0.090	0.000
0.300	39.765	0.301	-0.087	0.000
0.300	39.785	0.301	-0.087	0.000
0.300	39.754	0.300	-0.090	0.000
0.300	39.775	0.301	-0.087	0.000
0.300	39.754	0.299	-0.463	0.000
0.300	39.744	0.299	-0.463	0.000
0.300	39.723	0.299	-0.463	0.000
0.300	39.702	0.297	-0.467	0.000
0.300	39.723	0.299	-0.463	0.000
0.300	39.692	0.297	-0.467	0.000
0.300	39.692	0.297	-0.467	0.000
0.300	39.671	0.299	-0.463	0.000
0.300	39.671	0.299	-0.463	0.000
0.300	39.671	0.299	-0.463	0.000
0.300	39.650	0.300	-0.090	0.000
0.300	39.640	0.301	-0.087	0.000
0.300	39.650	0.301	-0.087	0.000
0.300	39.640	0.299	-0.463	0.000
0.300	39.630	0.299	-0.463	0.000
0.300	39.630	0.300	-0.090	0.000
0.300	39.609	0.301	-0.087	0.000
0.300	39.609	0.299	-0.463	0.000
0.300	39.599	0.299	-0.463	0.000
0.300	39.588	0.301	-0.087	0.000
0.300	39.599	0.301	-0.087	0.000
0.300	39.588	0.299	-0.463	0.000
0.300	39.588	0.300	-0.090	0.000
0.300	39.588	0.301	-0.087	0.000
0.300	39.567	0.299	-0.463	0.000
0.300	39.578	0.301	-0.087	0.000
0.300	39.578	0.300	-0.090	0.000
0.300	39.557	0.301	-0.087	0.000
0.300	39.536	0.300	-0.090	0.000
0.300	39.557	0.299	-0.463	0.000
0.300	39.547	0.301	-0.087	0.000
0.300	39.567	0.300	-0.090	0.000
0.300	39.536	0.300	-0.090	0.000
0.300	39.536	0.301	-0.087	0.000
0.300	39.536	0.299	-0.463	0.000
0.300	39.536	0.299	-0.463	0.000
0.300	39.536	0.299	-0.463	0.000
0.300	39.526	0.297	-0.467	0.000
0.300	39.536	0.301	-0.087	0.000
0.300	39.536	0.300	-0.090	0.000
0.300	39.547	0.300	-0.090	0.000
0.300	39.547	0.301	-0.087	0.000
0.300	39.547	0.299	-0.463	0.000
0.300	39.536	0.299	-0.463	0.000
0.300	39.516	0.299	-0.463	0.000
0.300	39.474	0.297	-0.467	0.000
0.300	39.422	0.299	-0.463	0.000
0.300	39.381	0.297	-0.467	0.000
0.300	39.339	0.301	-0.087	0.000
0.300	39.308	0.299	-0.463	0.000
0.300	39.308	0.300	-0.090	0.000
0.300	39.298	0.299	-0.463	0.000
0.300	39.287	0.301	-0.087	0.000
0.300	39.267	0.300	-0.090	0.000
0.300	39.277	0.301	-0.087	0.000
0.300	39.277	0.301	-0.087	0.000
0.300	39.256	0.301	-0.087	0.000
0.300	39.246	0.301	-0.087	0.000
0.300	39.225	0.301	-0.087	0.000
0.300	39.225	0.299	-0.463	0.000
0.300	39.215	0.297	-0.467	0.000
0.300	39.173	0.299	-0.463	0.000
0.300	39.173	0.299	-0.463	0.000
0.300	39.173	0.300	-0.090	0.000
0.300	39.152	0.300	-0.090	0.000
0.300	39.142	0.299	-0.463	0.000
0.300	39.142	0.299	-0.463	0.000
0.300	39.132	0.299	-0.463	0.000
0.300	39.121	0.299	-0.463	0.000
0.300	39.132	0.301	-0.087	0.000
0.300	39.111	0.300	-0.090	0.000
0.300	39.090	0.299	-0.463	0.000
0.300	39.090	0.300	-0.090	0.000
0.300	39.069	0.301	-0.087	0.000
0.300	39.049	0.300	-0.090	0.000
0.300	39.007	0.299	-0.463	0.000
0.300	39.007	0.300	-0.090	0.000
0.300	39.007	0.301	-0.087	0.000
0.300	38.997	0.297	-0.467	0.000
0.300	38.997	0.299	-0.463	0.000
0.300	38.955	0.300	-0.090	0.000
0.300	38.955	0.300	-0.090	0.000
0.300	38.945	0.301	-0.087	0.000
0.300	38.924	0.300	-0.090	0.000
0.300	38.914	0.301	-0.087	0.000
0.300	38.914	0.300	-0.090	0.000
0.300	38.903	0.301	-0.087	0.000
0.300	38.893	0.301	-0.087	0.000
0.300	38.851	0.297	-0.467	0.000
0.300	38.831	0.300	-0.090	0.000
0.300	38.831	0.299	-0.463	0.000
0.300	38.820	0.299	-0.463	0.000
0.300	38.820	0.299	-0.463	0.000
0.300	38.820	0.297	-0.467	0.000
0.300	38.800	0.299	-0.463	0.000
0.300	38.820	0.299	-0.463	0.000
0.300	38.810	0.300	-0.090	0.000
0.300	38.800	0.299	-0.463	0.000
0.300	38.789	0.299	-0.463	0.000
0.300	38.758	0.297	-0.467	0.000
0.300	38.748	0.299	-0.463	0.000
0.300	38.727	0.296	-0.470	0.000
0.300	38.696	0.300	-0.090	0.000
0.300	38.717	0.297	-0.467	0.000
0.300	38.675	0.301	-0.087	0.000
0.300	38.634	0.301	-0.087	0.000
0.300	38.634	0.299	-0.463	0.000
0.300	38.644	0.299	-0.463	0.000
0.300	38.634	0.299	-0.463	0.000
0.300	38.634	0.301	-0.087	0.000
0.300	38.634	0.299	-0.463	0.000
0.300	38.634	0.301	-0.087	0.000
0.300	38.634	0.301	-0.087	0.000
0.300	38.634	0.299	-0.463	0.000
0.300	38.634	0.299	-0.463	0.000
0.300	38.634	0.300	-0.090	0.000
0.300	38.623	0.297	-0.467	0.000
0.300	38.634	0.299	-0.463	0.000
0.300	38.634	0.300	-0.090	0.000
0.300	38.623	0.301	-0.087	0.000
0.300	38.634	0.301	-0.087	0.000
0.300	38.602	0.300	-0.090	0.000
0.300	38.530	0.299	-0.463	0.000
0.300	38.499	0.300	-0.090	0.000
0.300	38.488	0.299	-0.463	0.000
0.300	38.478	0.300	-0.090	0.000
0.300	38.468	0.299	-0.463	0.000
0.300	38.468	0.300	-0.090	0.000
0.300	38.457	0.299	-0.463	0.000
0.300	38.457	0.301	-0.087	0.000
0.300	38.436	0.301	-0.087	0.000
0.300	38.395	0.299	-0.463	0.000
0.300	38.353	0.301	-0.087	0.000
0.300	38.353	0.299	-0.463	0.000
0.300	38.364	0.299	-0.463	0.000
0.300	38.333	0.299	-0.463	0.000
0.300	38.343	0.299	-0.463	0.000
0.300	38.364	0.297	-0.467	0.000
0.300	38.343	0.299	-0.463	0.000
0.300	38.343	0.299	-0.463	0.000
0.300	38.343	0.299	-0.463	0.000
0.300	38.333	0.300	-0.090	0.000
0.300	38.343	0.301	-0.087	0.000
0.300	38.333	0.300	-0.090	0.000
0.300	38.333	0.299	-0.463	0.000
0.300	38.312	0.299	-0.463	0.000
0.300	38.322	0.301	-0.087	0.000
0.300	38.270	0.300	-0.090	0.000
0.300	38.125	0.299	-0.463	0.000
0.300	38.073	0.297	-0.467	0.000
0.300	38.021	0.300	-0.090	0.000
0.300	38.032	0.300	-0.090	0.000
0.300	38.011	0.301	-0.087	0.000
0.300	38.042	0.299	-0.463	0.000
0.300	38.042	0.301	-0.087	0.000
0.300	38.032	0.300	-0.090	0.000
0.300	38.021	0.297	-0.467	0.000
0.300	38.021	0.301	-0.087	0.000
0.300	38.021	0.300	-0.090	0.000
0.300	38.032	0.301	-0.087	0.000
0.300	38.032	0.301	-0.087	0.000
